BGC_ID,Type,Link,Core_BGC_Gene,Additional_BGC_Gene,Transport-related_Gene,Regulatory_Gene,Other_Gene
BGC0000647,Terpene,https://mibig.secondarymetabolites.org/go/BGC0000647/1,13,13,0,0,0
BGC0000854,Other,https://mibig.secondarymetabolites.org/go/BGC0000854/1,2,2,0,2,2
BGC0000856,Other,https://mibig.secondarymetabolites.org/go/BGC0000856/1,1,1,0,0,1
BGC0001124,PKSI,https://mibig.secondarymetabolites.org/go/BGC0001124/1,1,1,1,0,1
BGC0001132,NRPS,https://mibig.secondarymetabolites.org/go/BGC0001132/1,2,0,0,0,0
BGC0001135,NRPS,https://mibig.secondarymetabolites.org/go/BGC0001135/1,1,0,0,0,0
BGC0001164,PKS_Others,https://mibig.secondarymetabolites.org/go/BGC0001164/1,4,0,0,0,0
BGC0001240,NRPS,https://mibig.secondarymetabolites.org/go/BGC0001240/1,1,0,0,0,0
BGC0001276,PKSI,https://mibig.secondarymetabolites.org/go/BGC0001276/1,1,0,0,0,0
BGC0001479,NRPS,https://mibig.secondarymetabolites.org/go/BGC0001479/1,8,0,8,0,8
BGC0001758,NRPS,https://mibig.secondarymetabolites.org/go/BGC0001758/1,6,0,0,0,0
BGC0001825,NRPS,https://mibig.secondarymetabolites.org/go/BGC0001825/1,3,0,0,0,0
BGC0001833,NRPS,https://mibig.secondarymetabolites.org/go/BGC0001833/1,8,0,0,0,0
