Sample,Rename,Location,Geolocation,GeoLocation Coordinates,Depth_Feet,Loc_Depth,Depth,Avg_Depth,Sewage_Zone,Date,Year,Season,Study,Type,type
Apr2015_GCSS01_03222016_S15,GCSS01_Apr15,Gowanus,1,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS01-A_03222016_S29,GCSS01_Apr15_Rep1,Gowanus,1,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,Control,Spring15
Apr2015_GCSS01-B_03222016_S30,GCSS01_Apr15_Rep2,Gowanus,1,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,Control,Spring15
Apr2015_GCSS02_03222016_S16,GCSS02_Apr15,Gowanus,2,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS03_03222016_S17,GCSS03_Apr15,Gowanus,3,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS04_03222016_S18,GCSS04_Apr15,Gowanus,4,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS05_03222016_S19,GCSS05_Apr15,Gowanus,5,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS05-A_03222016_S31,GCSS05_Apr15_Rep1,Gowanus,5,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,Control,Spring15
Apr2015_GCSS05-B_03222016_S32,GCSS05_Apr15_Rep2,Gowanus,5,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,Control,Spring15
Apr2015_GCSS06_03222016_S20,GCSS06_Apr15,Gowanus,6,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS07_03222016_S21,GCSS07_Apr15,Gowanus,7,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS08_03222016_S22,GCSS08_Apr15,Gowanus,8,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS09_03222016_S23,GCSS09_Apr15,Gowanus,9,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS10_03222016_S24,GCSS10_Apr15,Gowanus,10,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS11_03222016_S25,GCSS11_Apr15,Gowanus,11,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS12_03222016_S26,GCSS12_Apr15,Gowanus,12,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS13_03222016_S27,GCSS13_Apr15,Gowanus,13,,,,,,Non-sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Apr2015_GCSS14_03222016_S28,GCSS14_Apr15,Gowanus,14,,,,,,Sewage,15-Apr,2015,Spring15,LongSamples,,Spring15
Dec2014_GCSS01_03222016_S1,GCSS01_Dec14,Gowanus,1,,,,,,Sewage,14-Dec,2014,Winter14,LongSamples,,Winter14
Dec2014_GCSS02_03222016_S2,GCSS02_Dec14,Gowanus,2,,,,,,Sewage,14-Dec,2014,Winter14,LongSamples,,Winter14
Dec2014_GCSS03_03222016_S3,GCSS03_Dec14,Gowanus,3,,,,,,Sewage,14-Dec,2014,Winter14,LongSamples,,Winter14
Dec2014_GCSS04_03222016_S4,GCSS04_Dec14,Gowanus,4,,,,,,Sewage,14-Dec,2014,Winter14,LongSamples,,Winter14
Dec2014_GCSS05_03222016_S5,GCSS05_Dec14,Gowanus,5,,,,,,Non-sewage,14-Dec,2014,Winter14,LongSamples,,Winter14
